"BANK OF ENGLAND (PRA)",,
"This document provides a list of Authorised Firms, it does not supersede the Financial Service Register which should be referred to as the most accurate and up to date source of information.",,
,,
"This list of firms includes Legal Entity Identifier (LEI) data. For more information see the Firm Data section at https://www.bankofengland.co.uk/prudential-regulation/authorisations/which-firms-does-the-pra-regulate",,
,,
"List of PRA-regulated Banks as at  01 February 2026",,
,,
"Banks incorporated in the UK authorised to accept deposits",,
,,
"Firm Name","FRN","LEI"
"Shanghai Pudong Development Bank Co., Ltd","777597","300300C1031031001330"
"Shinhan Bank","204645","5493003P813VL21KG928"
"Skandinaviska Enskilda Banken AB (Publ)","124943","F3JS33DEI6XQ4ZBPTN86"
"Societe Generale","124866","O2RNE8IBXP4R0TD8PU41"
"State Bank of India","139156","5493001JZ37UBBZF6L49"
"State Street Bank and Trust Company","170462","571474TGEMMWANRLN572"
"Sumitomo Mitsui Banking Corporation, London Branch","769072","5U0XI89JRFVHWIBS4F54"
"Sumitomo Mitsui Trust Bank, Limited","124855","5493006GGLR4BTEL8O61"
"T C Ziraat Bankasi AS","204705","213800K5KTZFSUS8MR51"
"The Bank of East Asia, Limited","204628","CO6GC26LCGGRTUESIP55"
"The Bank of New York Mellon","122467","HPFHU0OQ28E4N0NFVK49"
"The Bank of Nova Scotia","141308","L3I9ZG2KFGXZ61BMYR72"
"The Governor and Company of the Bank of Ireland","204721","Q2GQA2KF6XJ24W42G291"
"The Korea Development Bank - London Branch","190652","549300ML2LNRZUCS7149"
"The Norinchukin Bank","204685","5493007VSMFZCPV1NB83"
"The Northern Trust Company","122020","6PTKHDJ8HDUF78PFWH30"
"The Royal Bank of Scotland International Limited","760675","21380078CCZSEEIIKA41"
"The Toronto-Dominion Bank","124859","PT3QB789TSUIDF371261"
"Turkiye Is Bankasi As","204708","789000FIRX9MDN0KTM91"
"U.S. Bank Europe DAC","462132","5493008GNQHVI377MY19"
"UBS AG","186958","BFM8T61CT2L1QCEMIK50"
"Union Bancaire Privee, UBP SA","147562","IPLPO8C7P68Q5FFRI280"
"United Overseas Bank Ltd","204714","IO66REGK3RCBAMA8HR66"
"Wells Fargo Bank, National Association","456183","KB1H1DSPRFMYMCUFXT09"
"Westpac Banking Corporation","124586","EN5TNI6CI43VEPAMHL14"
"Woori Bank","204664","549300VUVMRL6RE7R376"
,,
,,
,,
"Banks incorporated in Gibraltar authorised to accept deposits through a branch or service in the UK",,
,,
"Firm Name","FRN","LEI"
"Bank J. Safra Sarasin (Gibraltar) Ltd","466838","549300HI3GYE86825R87"
"Gibraltar International Bank Limited","666675","549300CEWWYG2REGSU04"
"Lombard Odier & Cie (Gibraltar) Limited","462323","549300E2FDLN8Y0QI242"
"Moneycorp Bank Limited","751074","213800XLZGL9MX1X2Y70"
"The Royal Bank of Scotland (Gibraltar) Ltd","232393","2138004K85AQBWML6K65"
"Trusted Novus Bank Limited","207244","213800WRWWDT3HW3HE26"
"Xapo Bank Limited","902001","98450015CDQ51B6B5A07"
,,
,,
,,
"Banks incorporated in the EEA authorised to accept deposits through a branch in the UK while in Supervised Run Off (SRO)",,
,,
"Firm Name","FRN","LEI"
"Banque Transatlantique SA","456156","969500FZ69MUJG4X7Z43"
"Bunq B.V.","838158","7245002ZUXNOEJ0QPZ44"
"Byblos Bank Europe SA","204733","5493008BATDQM2LE5Z97"
"FinecoBank SPA","222329","549300L7YCATGO57ZE10"
"Intesa Sanpaolo Wealth Management SA","474739","549300OZSHE4H5BFQA66"
"Lidion Bank Plc","591923","213800BJFRCI88UOLL93"
"MILLEIS BANQUE","778827","2138008864ADTHGQP554"
